1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
37.10;80.65;64.52;80.65;70.97;80.65;80.65;80.65;80.65;70.97;80.65;80.65;80.65;80.65;80.65;80.65
50.00;77.78;59.26;72.22;68.52;77.78;77.78;77.78;72.22;68.52;72.22;77.78;77.78;77.78;72.22;77.78
44.83;76.72;66.38;75.00;73.28;76.72;78.45;79.31;75.00;75.86;75.86;78.45;79.31;79.31;75.86;79.31
66.67;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
85.71;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
71.05;97.37;92.11;94.74;94.74;97.37;97.37;97.37;94.74;97.37;97.37;97.37;97.37;97.37;97.37;97.37
77.27;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91
83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33
94.44;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
80.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
75.00;88.89;91.67;91.67;83.33;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67
88.89;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44;94.44
80.56;97.22;94.44;97.22;94.44;97.22;97.22;97.22;97.22;97.22;97.22;97.22;97.22;97.22;97.22;97.22
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
73.08;80.77;61.54;88.46;61.54;80.77;92.31;80.77;92.31;61.54;92.31;92.31;80.77;92.31;92.31;92.31
70.83;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67;91.67
100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33
94.44;94.44;94.44;94.44;100.00;94.44;94.44;100.00;94.44;100.00;100.00;94.44;100.00;100.00;100.00;100.00
100.00;100.00;50.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
