Mutpy;MutMut;Mutatest;CosmicRay
89.13;75.75;14.2;158.05
46.97;85.8;10.48;138.35
221.55;215.44;15.63;280.89
5.47;9.17;7.63;8.45
11.11;25.82;8.05;106.25
64.91;99.87;10.94;134.72
35.72;25.32;8.65;22.17
25.59;35.87;8.27;458.84
34.37;22.47;7.99;37.5
65.67;93.48;11.43;197.29
6.87;12.12;6.79;5.33
61.89;59.67;11.06;43.51
46.41;62.53;8.27;49.71
43.58;44.85;11.3;59.83
4.45;8.3;6.88;5.49
25.46;26.53;8.73;634.15
23.44;28.72;6.95;81.02
3.42;2.6;4.17;12.15
62.85;34.93;8.54;561.19
39.92;21.89;11.78;67.2
4.33;3.14;4.89;4.09
