R;E;P;J;AS
2198,9;3,3;6,0;3,0;12,3
1404,8;4,0;21,7;2,7;28,4
1308,2;4,0;28,8;3,9;36,7
1481,6;7,4;40,0;8,2;55,6
1947,2;2,4;29,8;3,0;35,2
34,0;2,0;24,8;1,6;28,4
34,0;2,0;28,5;1,4;31,9
2127,5;3,0;29,5;4,7;37,2
1846,3;2,1;16,8;2,8;21,7
1902,7;2,0;28,9;3,2;34,1
853,5;4,4;59,9;3,1;67,4
668,4;3,0;68,2;2,8;74,0
768,1;3,9;77,1;4,1;85,1
677,0;3,0;72,9;3,5;79,4
374,6;4,5;67,3;4,3;76,1
382,6;3,1;78,6;4,0;85,7
2379,1;11,9;38,0;16,1;66,0
564,7;10,4;136,6;10,4;157,4
370,9;11,9;95,5;13,0;120,4
573,2;5,4;1,0;2,8;9,2
1565,7;12,9;1,4;12,3;26,6
576,3;5,0;96,4;7,0;108,4
380,2;8,2;83,3;10,0;101,5
406,4;1,0;35,5;8,6;45,1
1196,5;8,8;83,5;15,0;107,3
369,9;10,2;79,7;13,4;103,3
1230,0;8,9;111,8;13,9;134,6
1135,7;8,9;121,3;14,2;144,4
974,6;8,9;128,2;14,0;151,1
60,0;4,1;1,0;2,8;7,9
3163,0;11,0;313,4;15,4;339,8
3283,7;3,6;316,4;3,7;323,7
1125,1;6,5;102,8;5,1;114,4
